Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram,Facebook,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,Широта,Долгота,2GIS URL
AqMonsha,банный комплекс,Бани и сауны; Массажист; SPA-процедуры; Эпиляция,"улица Алихан Бокейхан, 34Б",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (санитарный день: последний пн месяца; последний прием в рабочие дни: 20:30; в выходные дни: 21:30),+05:00,4.4,1271,87028123707 (баня),,,,,,,,https://instagram.com/aqmonsha_astana,,https://wa.me/77028123707,,,,,51.093445,71.429351,https://2gis.com/firm/70000001065444076
БРИЗ,сауна,Бани и сауны,"переулок Ойтоган, 15/1",,,Қараөткел ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,233,87785676299,87778693103,,,,,,,https://instagram.com/sauna.ast.kz,,https://wa.me/77785676299,https://wa.me/77778693103,,,,51.146484,71.482388,https://2gis.com/firm/70000001018085663
Алма,гостиничный комплекс,Бани и сауны; Гостиницы,"проспект Абая, 73/7",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.5,18,87172200807,87172200130 (сауна),,,,,,,,,,,,,,51.171233,71.447003,https://2gis.com/firm/70000001018079786
Anjana,СПА-центр,Бани и сауны; SPA-процедуры; Массажист; Косметолог,"улица Динмухамед Конаев, 7",цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+05:00,3.8,64,87172245050,87010227775,,,,http://rixos.com,,,https://instagram.com/anjana.spa,,https://wa.me/77010227775,,,,,51.133921,71.421903,https://2gis.com/firm/70000001018379843
Celebrity SPA,салон,Бани и сауны; SPA-процедуры; Косметолог; Парикмахерские; Визажисты; Ногтевые студии; Массажист; Эпиляция,"проспект Туран, 30",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+05:00,4.5,67,87172567755,87011000709,,,,http://www.celebrityspa.kz,,,https://instagram.com/celebrityspa,,https://wa.me/77011000709,,,,,51.129069,71.406256,https://2gis.com/firm/70000001019502472
Ағыс,,Бани и сауны; Гостиницы,"улица Акбокен, 5",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,49,87756348101,,,,,,,,,,https://wa.me/77756348101,,,,,51.176257,71.368773,https://2gis.com/firm/70000001022992298
Парус,сауна,Бани и сауны,"переулок Макаренко, 2",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (до последнего клиента),+05:00,4.9,52,87787788841,,,,,,,,https://instagram.com/banya_parrus,,https://wa.me/77787788841,,,viber://chat/?number=77787788841,,51.160256,71.453939,https://2gis.com/firm/70000001030811867
Круг,сауна,Бани и сауны,"улица Сакена Сейфуллина, 48/3",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+05:00,4.5,13,87015342288,87024654411,,,,,,,,,https://wa.me/77015342288,https://wa.me/77024654411,,,,51.17286,71.444667,https://2gis.com/firm/70000001018101603
Астана-Плаза,сауна,Бани и сауны,"проспект Женис, 27а",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,166,87172444862,87072204242,,,,,,,,,https://wa.me/77072204242,,,,,51.171507,71.411659,https://2gis.com/firm/70000001018082412
Энергетик,сауна,Бани и сауны,"проспект Тауелсиздик, 3/4а",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,89,87075228020,87774060982,87077527220,,,,,,,,https://wa.me/77774060982,https://wa.me/77075228020,,,,51.149029,71.453169,https://2gis.com/firm/70000001022721188
SV,банный комплекс,Бани и сауны,"Киевский переулок, 10",,,Целинный м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,71,87758888387,,,,,,,,https://instagram.com/baninadrovah_sv,,https://wa.me/77758888387,,,,,51.162422,71.459291,https://2gis.com/firm/70000001065296271
Семейная баня,,Бани и сауны,"улица Александра Затаевича, 3/11",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 14:00-01:00; Вт: 14:00-01:00; Ср: 14:00-01:00; Чт: 14:00-01:00; Пт: 14:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.7,88,87025726157,,,,,,,,https://instagram.com/banya_na_zataevicha,,https://wa.me/77025726157,,,,,51.186886,71.398354,https://2gis.com/firm/70000001029285546
V.neparsya_poparsya,сауна,Бани и сауны,"переулок Кызылкол, 7",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,76,87025374178,,,,,,,,https://instagram.com/v.neparsya_poparsya,,https://wa.me/77025374178,,,,,51.140336,71.516512,https://2gis.com/firm/70000001082537179
Эдем,сауна,Бани и сауны,"улица Жанибека тархана, 5",,,Алатау м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,26,87019000919,,,,,,,,,,https://wa.me/77019000919,,,,,51.161649,71.448381,https://2gis.com/firm/70000001020762523
Водолей,сауна,Бани и сауны,"улица Найзакара, 4/а",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,32,87761811925,87172535136,87077080686,,,,,,,,https://wa.me/77761811925,,,,,51.182811,71.399649,https://2gis.com/firm/70000001082809754
Ақнұр,баня,Бани и сауны,"Талапкерский переулок, 8/1",1 этаж,,Агрогородок м-н,Сарыарка район,Астана,,Астана,Казахстан,Ср: 14:00-22:00; Чт: 14:00-22:00; Пт: 14:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (санитарный день: каждый пн недели),+05:00,3.8,26,87014509170,,,,,,,,,,,,,,,51.183597,71.37769,https://2gis.com/firm/70000001027035347
Semeynoye_spa_astana,,Бани и сауны; SPA-процедуры; Массажист,"улица Кайрат Рыскулбеков, 8/4",,,Аль-Фараби м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.8,73,87754302959,,,,,,,,https://instagram.com/semeynoye_spa_astana,,https://wa.me/77754302959,,,,,51.154813,71.49974,https://2gis.com/firm/70000001097865296
Семейная баня и сауна,,Бани и сауны,"улица Куляш Байсеитовой, 54",,,Агрогородок м-н,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-03:00,+05:00,4.8,184,87004555021,87016394770,,,,,,,,,https://wa.me/77016394770,https://wa.me/77004555021,,,,51.191669,71.387014,https://2gis.com/firm/70000001082578943
Жетiсу,баня,Бани и сауны,"улица Карасай батыра, 29/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (касса: пн-пт 12:00-21:00; сб-вс 10:00-21:00),+05:00,4.0,97,87172446994,,,,,,,,,,,,,,,51.198169,71.391398,https://2gis.com/firm/70000001023608192
Баня,,Бани и сауны,"переулок Баркытбел, 19",,,Агрогородок м-н,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-01:00; Вт: 09:00-01:00; Ср: 09:00-01:00; Чт: 09:00-01:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-01:00,+05:00,4.1,20,87075000368,,,,,,,,,,https://wa.me/77075000368,,,,,51.19505,71.392493,https://2gis.com/firm/70000001039822556
Дорожник,сауна,Бани и сауны,"улица Александра Пушкина, 35/1",цокольный этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,66,87754231535 (администратор),87758495536,,,,,,,https://instagram.com/sauna_dorozhnik,,https://wa.me/77029999453,,,,,51.16952,71.47511,https://2gis.com/firm/70000001019720992
parilkino.sauna,,Бани и сауны,"улица Алексея Петрова, 16/4",1 этаж,,2а м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.8,87,87056584658,87782581068,,,,,,,https://instagram.com/parilkino.sauna,,https://wa.me/77056584658,https://wa.me/77782581068,,,,51.146713,71.466341,https://2gis.com/firm/70000001079132458
Янтарь,сауна,Бани и сауны,"улица Александр Бараев, 10/6",цокольный этаж,,Жастар м-н,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-03:00,+05:00,4.7,60,87014513027,,,,,,,,https://instagram.com/astana_sauna_yantar1,,https://wa.me/77014513027,,,,,51.156127,71.437018,https://2gis.com/firm/70000001019579466
Семейная сауна,,Бани и сауны,"улица Кайынды, 4/3",,,Коктал ж/м,Сарыарка район,Астана,,Астана,Казахстан,Пн: 08:00-02:00; Вт: 08:00-02:00; Ср: 08:00-02:00; Чт: 08:00-02:00; Пт: 08:00-02:00; Сб: 08:00-02:00; Вс: 08:00-02:00,+05:00,4.9,238,87786159015,,,,,,,,https://instagram.com/semeinaia_sauna,,https://wa.me/77786159015,,,,,51.178557,71.341601,https://2gis.com/firm/70000001045807959
Аристократ,сауна,Бани и сауны,"улица Александра Пушкина, 25",цокольный этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00 (по предварительной записи),+05:00,4.5,35,87756277060,87172373637,87072373637,,,,,,,,https://wa.me/77756277060,,,,,51.164963,71.473801,https://2gis.com/firm/70000001019497870
Керемет,банный комплекс,Бани и сауны; Массажист,"улица Шангерей Бокеев, 1/1","2, 3 этаж",,,Сарыарка район,Астана,,Астана,Казахстан,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,+05:00,4.4,43,87081451663,,,,,,,,,,https://wa.me/77081451663,,,,,51.202567,71.385297,https://2gis.com/firm/70000001036188710
On пар,сауна,Бани и сауны,"улица Жамбыла, 34а",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,120,87053122144,,,,,,,,https://instagram.com/on_par_astana,,https://wa.me/77053122144,,,,https://t.me/kalkabaevadlet,51.17325,71.398263,https://2gis.com/firm/70000001060603753
Очаг,сауна,Бани и сауны,"Альмукан Сембинов улица, 13/1",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,17,87772244925,,,,,,,,,,https://wa.me/77772244925,,,,,51.171282,71.450248,https://2gis.com/firm/70000001104315186
iSauna,гостиничный комплекс,Бани и сауны; Гостиницы,"проспект Бауыржан Момышулы, 22/11",1-2 этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,63,87758880038,87789077784,,,,,,,,,https://wa.me/77789077784,,,,,51.143362,71.491411,https://2gis.com/firm/70000001019851159
Цветочная,сауна на дровах,Бани и сауны,"улица Цветочная, 116",,,ПК Полянка,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.4,52,87020383486,,,,,,,,,,https://wa.me/77020383486,,,,,51.177171,71.36723,https://2gis.com/firm/70000001102206205
Лечебно-оздоровительный комплекс,,Бани и сауны; Процедурный кабинет; Тонизирующие салоны; Массажист,"улица Жанибека тархана, 2",,,,Байконыр район,Астана,,Астана,Казахстан,Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+05:00,3.5,78,87172374212,87750944283,,,,,,,,,https://wa.me/77750944283,,,,,51.161129,71.441828,https://2gis.com/firm/70000001045942170
Байкал,гостиница,Бани и сауны; Гостиницы,"переулок Музбел, 4",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,38,87172430843,87470665081,,,,,,,,,https://wa.me/77470665081,,,,,51.180344,71.369825,https://2gis.com/firm/70000001018089195
Парная Избушка,,Бани и сауны,"улица Жамбыла, 81-1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-02:00,+05:00,5.0,4,87473780930,,,,,,,,https://instagram.com/banya_parnaia_izbushka,,https://wa.me/77473780930,,,,,51.17717,71.401835,https://2gis.com/firm/70000001104621410
Баня,,Бани и сауны,"улица Акмола, 17",,,Коктал-2 м-н,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,32,87058683370,,,,,,,,,,https://wa.me/77058683370,,,,,51.193587,71.336655,https://2gis.com/firm/70000001083294753
zhara_koktal,,Бани и сауны,"улица Дулата Бабатайулы, 2/2",,,Коктал ж/м,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,111,87778881313,,,,,,,,https://instagram.com/zhara_koktal,,https://wa.me/77778881313,,,,,51.179336,71.336958,https://2gis.com/firm/70000001057389262
Шах,гостиничный комплекс,Бани и сауны; Гостиницы,"улица Кайрат Рыскулбеков, 11",,,Аль-Фараби м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,71,87761572861,87780995857,,,,,,,https://instagram.com/shah_hotel_astana,,https://wa.me/77761572861,https://wa.me/77780995857,,,,51.154224,71.496052,https://2gis.com/firm/70000001051695022
Банный комплекс,,Бани и сауны,"улица Желтоксан, 42",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,4.2,6,87476775769,,,,,,,,,,https://wa.me/77476775769,,,,,51.179299,71.413277,https://2gis.com/firm/70000001103707859
Попутчик,,Бани и сауны,"Гете улица, 1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,36,87759090750,,,,,,,,https://instagram.com/poputchik_001,,https://wa.me/77759090750,,,,,51.195956,71.407567,https://2gis.com/firm/70000001093048135
Сибирские бани,,Бани и сауны,"проспект Магжана Жумабаева, 25/2",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,299,87753222202,,,,,,,,https://instagram.com/sibirskie.bani.astana,,https://wa.me/77753222202,,,viber://chat/?number=77753222202,https://t.me/+77753222202,51.140663,71.488283,https://2gis.com/firm/70000001061533397
Баня на дровах,,Бани и сауны,"Сарыжайлау улица, 42",,,Ондирис-1 ж/м,Байконыр район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00 (до последнего гостя),+05:00,4.8,40,87074526825,,,,,,,,,,,,,,,51.212487,71.39451,https://2gis.com/firm/70000001086754501
Баня на дровах,,Бани и сауны,"улица Кобыз, 17",,,Юго-Восток (правая сторона) ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 17:00-24:00; Вт: 17:00-24:00; Ср: 17:00-24:00; Чт: 17:00-24:00; Пт: 17:00-24:00; Сб: 11:00-01:00; Вс: 11:00-01:00,+05:00,3.7,27,87053218495,,,,,,,,,,https://wa.me/77053218495,,,,,51.133375,71.51622,https://2gis.com/firm/70000001100233233
Эко баня,,Бани и сауны,"улица Иманак, 26",,,Железнодорожный ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,68,87075081463,,,,,,,,,,https://wa.me/77075081463,,,,,51.148993,71.552775,https://2gis.com/firm/70000001090360443
Бани KZ,банный комплекс,Бани и сауны,"28-я улица, 4",,,Тельман ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,515,87778881414,,,,,,,,https://instagram.com/bani.kz_01,,https://wa.me/77778881414,,,,,51.092013,71.477348,https://2gis.com/firm/70000001065451909
Демалыс,оздоровительный комплекс,Бани и сауны,"улица Ер Таргын, 26",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.3,59,87755624040,,,,,,,,,,https://wa.me/77755624040,,,,,51.144284,71.507235,https://2gis.com/firm/70000001023003641
Сага,сауна,Бани и сауны,"улица Жайык, 32",1 этаж,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.3,101,87020687056,,,,,,,,https://instagram.com/sauna.saga,,https://wa.me/77020687056,,,,,51.148916,71.517195,https://2gis.com/firm/70000001019928901
Томирис,гостиничный комплекс,Бани и сауны; Гостиницы; Конференц-залы,"шоссе Коргалжын, 9",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,472,87759111275 (гостиница),87172646025 (гостиница),87011249061 (сауна),,,http://tomirishotel.com,,,https://instagram.com/tomiris_restaurant,,https://wa.me/77759111275,https://wa.me/77026146520,,,,51.147097,71.394569,https://2gis.com/firm/70000001022080321
Клуб Друзей,сауна на дровах,Бани и сауны; Караоке-залы,"улица Тулкибас, 49",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,33,87782607273,,,,,http://club-druzey.tilda.ws,,,https://instagram.com/club__druzey,,https://wa.me/77782607273,,,,,51.142627,71.49559,https://2gis.com/firm/70000001055990930
Sahil,сауна,Бани и сауны,"проспект Бауыржан Момышулы, 6а",цокольный этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.1,26,87172427905,87754409056,,,,http://sahil.kz,,,https://instagram.com/sauna_sahil,,https://wa.me/77754409056,,,,,51.138357,71.4735,https://2gis.com/firm/70000001018214338
Акватория,сауна,Бани и сауны,"улица Лайлы-Мажнун, 12",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,125,87172457844,87770365050,87022541414,,,,,,https://instagram.com/akvatoria_nursultan,,https://wa.me/77770365050,,,,,51.145004,71.400531,https://2gis.com/firm/70000001018078812
Lion,сауна,Бани и сауны,"улица Маскеу, 37/2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,203,87785988986 (администрация),,,,,,,,https://instagram.com/lion_sauna,,https://wa.me/77785988986,,,,,51.182539,71.414499,https://2gis.com/firm/70000001039084781
Нура,баня,Бани и сауны; Массажист,"улица Е-429, 8",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,227,87077838289,,,,,,,,https://instagram.com/spa_nura,,https://wa.me/77077838289,,,,,51.142509,71.359894,https://2gis.com/firm/70000001098954885
Леди Босс,сауна,Бани и сауны,"улица Константин Циолковский, 6",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.3,11,,,,,,,,,,,,,,,,51.168299,71.472468,https://2gis.com/firm/70000001094583860
Азат,сауна,Бани и сауны,"улица Беимбет Майлин, 35",цокольный этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,33,87785801780,87011888173,,,,,,,,,https://wa.me/77785801780,https://wa.me/77011888173,,,,51.148396,71.485759,https://2gis.com/firm/70000001061273884
Megapar,,Бани и сауны,"улица Таскескен, 50",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,53,87755052126,,,,,,,,,,https://wa.me/77755052126,,,,,51.129951,71.487064,https://2gis.com/firm/70000001093480812
Golf_par,халяльная баня,Бани и сауны,"135-я улица, 1а",,,Интернациональный ж/м,Сарайшык район,Астана,,Астана,Казахстан,Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.8,53,87001001099,,,,,,,,https://instagram.com/golf_par_qq,,https://wa.me/77001001099,,,,,51.117387,71.57032,https://2gis.com/firm/70000001068739424
Шашу,сауна,Бани и сауны,"переулок Шашу, 2Б",,,Қараөткел ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,41,87751716929,,,,,,,,,,https://wa.me/77751716929,,,,,51.144121,71.482252,https://2gis.com/firm/70000001051853360
