Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
Bake,барбершоп,Барбершопы,"улица Сыганак, 52",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,31,87788716600,,,,,,https://instagram.com/bake52bake,,,https://wa.me/77788716600,,,,,,51.12424,71.415753,https://2gis.com/firm/70000001103864700
Bars,барбершоп,Барбершопы,"переулок Жайдарман, 1",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи),+05:00,4.9,315,87079641323,,,,http://tiktok.com/@bars_barbershop,,https://instagram.com/bars_barbershop,,,https://wa.me/77079641323,,,,,,51.136272,71.469843,https://2gis.com/firm/70000001102232953
Central,барбершоп,Барбершопы,"улица Сыганак, 47",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,257,87080220817,,,rysbek.02@icloud.com,,,https://instagram.com/central.astana,,,https://wa.me/77080220817,,,,,,51.123185,71.434374,https://2gis.com/firm/70000001100116824
Aitmen,барбершоп,Барбершопы; Обучение мастеров для салонов красоты,"улица Фариза Онгарсынова, 6",25 офис,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,1507,87756415645,,,support@aitmen.kz,http://zapis.kz/barbershop-aitmen,,https://instagram.com/aitmen_barbershop,,,https://wa.me/77756415645,,,,,,51.083885,71.441157,https://2gis.com/firm/70000001051597358
Aitmen,барбершоп,Барбершопы; Обучение мастеров для салонов красоты,"улица Илияс Омаров, 25",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,1447,87079909058,,,support@aitmen.kz,http://zapis.kz/barbershop-aitmen,,https://instagram.com/aitmen_barbershop,,,https://wa.me/77079909058,,,,,,51.14048,71.370177,https://2gis.com/firm/70000001059238911
Urban,барбершоп,Барбершопы,"улица Айтеке би, 14",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:15; Вт: 10:00-21:15; Ср: 10:00-21:15; Чт: 10:00-21:15; Пт: 10:00-21:15; Сб: 10:00-21:15; Вс: 10:00-21:15,+05:00,4.9,1098,87086637636,,,,http://n517293.alteg.io/company/489387/personal/menu?o=,,https://instagram.com/urban.manhattan,,,https://wa.me/77086637636,,,,,,51.137963,71.38196,https://2gis.com/firm/70000001050142297
CROP Barbershop,,Барбершопы; Обучение мастеров для салонов красоты,"улица Абикен Бектуров, 9",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,122,87071317810,,,,http://crop-online.kz,,https://instagram.com/crop.barbershop,,,https://wa.me/77071317810,,,,,,51.122387,71.397799,https://2gis.com/firm/70000001103056517
Dsg,барбершоп,Барбершопы,"проспект Республики, 5",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.6,72,87007775474,,,,http://b147820.alteg.io/company/154997,,https://instagram.com/barbershop_dsg,,,https://wa.me/77007775474,,,,,,51.159094,71.428643,https://2gis.com/firm/70000001030151460
El patron,,Барбершопы,"улица Алихан Бокейхан, 16",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,266,87075084891,,,,,,https://instagram.com/el.patron.astana,https://facebook.com/profile.php?id=100086356821601,,https://wa.me/77075084891,,,,,,51.108038,71.433805,https://2gis.com/firm/70000001081317638
Ronin,барбершоп,Барбершопы,"улица Жумабека Ташенова, 8",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+05:00,4.9,87,87067244318,87066206553,,,,,https://instagram.com/ronin_barbershop_astana,,,https://wa.me/77067244318,,,,,,51.151446,71.433773,https://2gis.com/firm/70000001102721711
The Jigits,барбершоп,Барбершопы,"улица Александра Пушкина, 4",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,485,87015038118,,,,http://www.thejigits.kz,,https://instagram.com/jigits.barber.01,,,https://wa.me/77015038118,,,,,,51.156794,71.459879,https://2gis.com/firm/70000001039578812
Gross,барбершоп,Барбершопы,"проспект Республики, 7/2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи),+05:00,4.8,280,87772701111,87079097452,,,http://zapis.kz/gross,,https://instagram.com/gross.barbershop,,,https://wa.me/77772701111,,,,,,51.160619,71.427355,https://2gis.com/firm/70000001029760862
Murt by Shaimardan,мужской салон,Барбершопы,"улица Касым Кайсенов, 2",НП: 8,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,5.0,80,87776116671,,,,,,https://instagram.com/murt.barbershop,,,https://wa.me/77776116671,,,,,,51.094564,71.443971,https://2gis.com/firm/70000001095070167
Bars,барбершоп,Барбершопы,"улица Илияс Омаров, 19/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи),+05:00,4.9,515,87761861256,,,,http://tiktok.com/@bars_barbershop,,https://instagram.com/bars_barbershop,,,https://wa.me/77761861256,,,,,,51.137331,71.367087,https://2gis.com/firm/70000001083231482
El patron,,Барбершопы,"улица Алихан Бокейхан, 46",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,186,87075693706,,,,,,https://instagram.com/el.patron.astana,https://facebook.com/profile.php?id=100086356821601,,https://wa.me/77075693706,,,,,,51.087536,71.427324,https://2gis.com/firm/70000001099073650
Aitmen,барбершоп,Барбершопы; Обучение мастеров для салонов красоты,"улица Кайрат Рыскулбеков, 29",НП: 13,,,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,1172,87476512148,,,support@aitmen.kz,http://zapis.kz/barbershop-aitmen,,https://instagram.com/aitmen_barbershop,,,https://wa.me/77476512148,,,,,,51.160314,71.501493,https://2gis.com/firm/70000001066360315
4Bro,барбершоп,Барбершопы,"улица Фариза Онгарсынова, 6",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,5.0,176,87086994330,,,,http://n832507.alteg.io,,https://instagram.com/barbershop.4bro,,,https://wa.me/77086994330,,,,,,51.083906,71.439836,https://2gis.com/firm/70000001077727092
TM Barbershop,,Барбершопы; Студии загара,"улица Алихан Бокейхан, 44",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,548,87770628899,,,,http://tmbarbershopastana.taplink.ws,,https://instagram.com/tmbarbershop_astana,,,https://wa.me/77770628899,,,,,,51.088413,71.426597,https://2gis.com/firm/70000001089567143
GazMaster,барбершоп,Барбершопы,"улица Каныш Сатпаев, 5",,,2 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,339,87766664434,,,,http://dikidi.net/1489232,,https://instagram.com/gazmaster_barbershop,,,,,,,,,51.151127,71.468238,https://2gis.com/firm/70000001038950356
Qiu,,Барбершопы; Обучение мастеров для салонов красоты,"улица Сыганак, 17Б",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,252,87716776555,,,,http://zapis.kz/barbershop-qiu,,https://instagram.com/qiu.barbershop,,,https://wa.me/77716776555,,,,,,51.130269,71.390216,https://2gis.com/firm/70000001060308945
Traditional Barbershop,,Барбершопы,"проспект Мангилик Ел, 53",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,422,87053315447,,,,http://70000001038298166.2gis.biz,,https://instagram.com/traditionalbarbershop.kz,,https://vk.com/barbershop_astana,https://wa.me/77053315447,,,,,,51.091995,71.424922,https://2gis.com/firm/70000001038298167
Nurba,барбершоп,Барбершопы,"улица Жумекен Нажимеденов, 16а",цокольный этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.9,192,87711023057,,,,,,https://instagram.com/nurba_barbershop_astana,,,https://wa.me/77711023057,,,,,,51.117444,71.476782,https://2gis.com/firm/70000001090812502
Sensei,барбершоп,Барбершопы,"улица Кажымукан, 12Б",,,4 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,237,87010360222,,,,,,https://instagram.com/senseibbarbershop,,,https://wa.me/77010360222,,,,,,51.153948,71.467815,https://2gis.com/firm/70000001072131311
Бравый,барбершоп,Барбершопы,"проспект Женис, 43/4",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,1273,87765506611,,,,http://n268548.alteg.io/,,https://instagram.com/bravyi_astana,,,https://wa.me/77765506611,,,,,,51.178937,71.407977,https://2gis.com/firm/70000001039927942
CROP Barbershop,,Барбершопы; Обучение мастеров для салонов красоты,"проспект Туран, 55к",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,84,87082935183,,,,http://crop-online.kz,,https://instagram.com/crop.barbershop,,,https://wa.me/77082935183,,,,https://t.me/+77082935183,,51.11453,71.393222,https://2gis.com/firm/70000001102858643
Mr Room,мужской салон,Барбершопы; Массажист; Эпиляция,"проспект Туран, 44/2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,17,87753212850,,,,,,https://instagram.com/mrroom_astana,,,https://wa.me/77753212850,,,,,,51.113811,71.402892,https://2gis.com/firm/70000001103409175
Dara,барбершоп,Барбершопы,"улица Жошы хан, 27",,,Заречное ж/м,Есиль район,Астана,,Астана,Казахстан,"Пн: 10:00-13:00, 14:00-21:00; Вт: 10:00-13:00, 14:00-21:00; Ср: 10:00-13:00, 14:00-21:00; Чт: 10:00-13:00, 14:00-21:00; Пт: 10:00-13:00, 14:00-21:00; Сб: 10:00-13:00, 14:00-21:00; Вс: 10:00-13:00, 14:00-21:00",+05:00,5.0,34,87773527969,,,,http://n1380380.alteg.io,,https://instagram.com/dara.barbershop,,,https://wa.me/77773527969,,,,,,51.108252,71.443856,https://2gis.com/firm/70000001103709452
Richman,барбершоп,Барбершопы,"улица Анет баба, 11/2",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,471,87750323111,,,,http://n759933.alteg.io/company/714638/personal/select-services?fbclid=PAZnRzaANI-_9leHRuA2FlbQExAAGn8jdU21DoJV5-TIPtXNCNtvdDll319MliVjV9hnV8Nmis-_8Zi3muHU-QFVs_aem_SaPL4BhHo63zmkKVRLQm0Q&o=,,https://instagram.com/barbershop.richman,,,https://wa.me/77750323111,,,,https://t.me/+77750323111,,51.139153,71.382631,https://2gis.com/firm/70000001075332237
Katana,барбершоп,Барбершопы,"проспект Улы Дала, 35",,,,Нура район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,4.6,186,87715791829,,,,http://n815514.alteg.io/,,https://instagram.com/katana_barbershop_astana,,,https://wa.me/77715791829,,,,,,51.100368,71.402678,https://2gis.com/firm/70000001076576263
City,барбершоп,Барбершопы,"улица Кайым Мухамедханов, 6",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,278,87028577495,,,,http://zapis.kz/city-barbershop,,https://instagram.com/city_barbershop.kz,,,https://wa.me/77028577495,,,,,,51.139789,71.386668,https://2gis.com/firm/70000001064062760
El patron,,Барбершопы,"улица Санжара Асфендиярова, 3",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,522,87478358283,,,,,,https://instagram.com/el.patron.astana,https://facebook.com/profile.php?id=100086356821601,,https://wa.me/77478358283,,,,,,51.132655,71.378521,https://2gis.com/firm/70000001067340158
Barbershop №1,,Барбершопы,"улица Сыганак, 54",напротив ЛРТ,,,Есиль район,Астана,,Астана,Казахстан,"Пн: 10:00-14:00, 15:00-22:00; Вт: 10:00-14:00, 15:00-22:00; Ср: 10:00-14:00, 15:00-22:00; Чт: 10:00-14:00, 15:00-22:00; Пт: 10:00-14:00, 15:00-22:00; Сб: 10:00-14:00, 15:00-22:00; Вс: 10:00-14:00, 15:00-22:00",+05:00,4.9,175,87071315055,,,,http://dikidi.net/629033,,https://instagram.com/barbershop_number1,,,https://wa.me/77071315055,,,,,,51.124021,71.420934,https://2gis.com/firm/70000001056215769
Tör,барбершоп,Барбершопы,"улица Аманжол Болекпаев, 22",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,54,87076006800,,,,,,https://instagram.com/tor.barbershop.astana,,,https://wa.me/77076006800,,,,,,51.120596,71.51028,https://2gis.com/firm/70000001103753566
CROP Barbershop,,Барбершопы; Обучение мастеров для салонов красоты,"улица Касым Кайсенов, 4",6 офис,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:59-21:00; Вт: 09:59-21:00; Ср: 09:59-21:00; Чт: 09:59-21:00; Пт: 09:59-21:00; Сб: 09:59-21:00; Вс: 09:59-21:00,+05:00,4.9,118,87771884140,,,,http://crop-online.kz,,https://instagram.com/crop.barbershop,,,https://wa.me/77771884140,,,,,,51.096181,71.444229,https://2gis.com/firm/70000001100779264
Issak Barber,,Барбершопы; Обучение мастеров для салонов красоты,"улица Шамши Калдаяков, 4",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,61,87066666911,,,,http://zapis.kz/salon/5552,,https://instagram.com/issak.kz,,,https://wa.me/77066666911,,,,,,51.118319,71.456826,https://2gis.com/firm/70000001064760485
Mr.Sharp,барбершоп,Барбершопы,"улица Жумекен Нажимеденов, 26/1",вход с торца,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,114,87788095109,,,,,,https://instagram.com/mr.sharp_barbershop,,,https://wa.me/77788095109,,,,,,51.114583,71.491291,https://2gis.com/firm/70000001102514352
Mr.Nice,барбершоп,Барбершопы; Ногтевые студии,"проспект Ракымжан Кошкарбаев, 10",,,,Сарайшык район,Астана,,Астана,Казахстан,Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,3.7,24,87172204000,87087008000,,,http://www.mrnice.kz,,https://instagram.com/mr.nice.club,https://facebook.com/mr.nice.barbershop,,https://wa.me/77087008000,,,,,,51.126627,71.46757,https://2gis.com/firm/70000001023204766
Bacapacoroche,,Барбершопы,"улица Сауран, 9Б",цокольный этаж; НП: 1,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи),+05:00,5.0,110,87083147951 (менеджер),,,,http://zapis.kz/bacapacoroche,,https://instagram.com/bacapacoroche,,,https://wa.me/77004004110,,,,,,51.115874,71.416458,https://2gis.com/firm/70000001089086108
El patron,,Барбершопы,"улица Сыганак, 15/1",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:30; Вт: 10:00-21:30; Ср: 10:00-21:30; Чт: 10:00-21:30; Пт: 10:00-21:30; Сб: 10:00-21:30; Вс: 10:00-21:30,+05:00,4.8,66,87074147834,,,,,,https://instagram.com/el.patron.astana,https://facebook.com/profile.php?id=100086356821601,,https://wa.me/77074147834,,,,,,51.130824,71.38439,https://2gis.com/firm/70000001094413274
K1,барбершоп,Барбершопы,"улица Алексея Петрова, 2",,,1 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,133,87082662482,,,,,,,,,https://wa.me/77082662482,,,,,,51.151623,71.461012,https://2gis.com/firm/70000001097588464
Blade barber,барбершоп,Барбершопы,"проспект Мангилик Ел, 51/5",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,111,87479610587,,,,http://n1373575.alteg.io,,https://instagram.com/amin_barber0,,,https://wa.me/77479610587,,,,,,51.093888,71.421758,https://2gis.com/firm/70000001102822544
Archie,барбершоп,Барбершопы,"улица Мухтара Ауэзова, 19",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-21:00; Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-21:00,+05:00,4.9,172,87475552403,,,,http://n771406.alteg.io,,https://instagram.com/barbershop_archie_,,,https://wa.me/77475552403,,,,,,51.171864,71.422683,https://2gis.com/firm/70000001066886156
ZE,барбершоп,Барбершопы,"Керей, Жанибек хандар улица, 30",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,277,87014779181,,,,,,https://instagram.com/ze.barbershop.01,,,https://wa.me/77014779181,,,,,,51.111203,71.437466,https://2gis.com/firm/70000001067672317
fade_barbershop_astana,,Барбершопы,"улица Сарайшык, 40",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,38,87082005838,,,,http://zapis.kz/fade-barbershop,,,,,https://wa.me/77082005838,https://wa.me/77677778611,,,,,51.132349,71.438025,https://2gis.com/firm/70000001075455115
NoMad Barber,,Барбершопы,"Е 915 улица, 15",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,59,87086186798,,,,http://b777777.alteg.io/company/1301799/personal/menu?o=,,https://instagram.com/nomad_barber_astana,,,https://wa.me/77086186798,,,,,,51.08876,71.466573,https://2gis.com/firm/70000001101321157
beine_barbershop,,Барбершопы; Обучение мастеров для салонов красоты,"улица Жанкент, 52",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,5.0,58,87478957564,,,,,,https://instagram.com/beine_barbershop,,,https://wa.me/77478957564,,,,,,51.13694,71.501834,https://2gis.com/firm/70000001099447232
Berserk,барбершоп,Барбершопы,"проспект Абылай хана, 10",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.8,286,87781263015,,,,http://zapis.kz/berserk-barbershop,,https://instagram.com/berserk.barbershop,,,https://wa.me/77781263015,,,,,,51.158518,71.474394,https://2gis.com/firm/70000001046452734
Khan Barbershop,,Барбершопы,"проспект Бауыржан Момышулы, 10",107 бутик; 1 этаж,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,219,87753543702,,,,http://zapis.kz/khan-barbershop-astana,,https://instagram.com/khan.barbershop.astana,,,https://wa.me/77753543702,,,,,,51.139059,71.476008,https://2gis.com/firm/70000001057516125
Logovo,,Барбершопы,"улица Бердибек Сокпакбаев, 20/1",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,499,87714226472,,,d-kz@mail.ru,http://taplink.cc/logovo,,https://instagram.com/barbershop.logovo,,,https://wa.me/77714226472,,,,,,51.17389,71.38358,https://2gis.com/firm/70000001092676014
It`s Time,барбершоп,Барбершопы,"проспект Сарыарка, 5/1",НП: 59,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи),+05:00,4.9,216,87087280221,,,,http://n1246244.alteg.io/,,https://instagram.com/itstime.barbershop,,,https://wa.me/77087280221,,,,,,51.161389,71.408304,https://2gis.com/firm/70000001091194774
El patron,,Барбершопы,"проспект Туран, 55/12",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,301,87074795313,,,,,,https://instagram.com/el.patron.astana,https://facebook.com/profile.php?id=100086356821601,,https://wa.me/77074795313,,,,,,51.113794,71.393845,https://2gis.com/firm/70000001081317887
Batys,барбершоп,Барбершопы,"улица Жумабека Ташенова, 8",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,148,87715297077,,,,http://n1312010.alteg.io/,,,,,https://wa.me/77715297077,,,,,,51.151446,71.433773,https://2gis.com/firm/70000001092494912
The Shelby,,Барбершопы,"улица Желтоксан, 14",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.9,165,87022866619,,,,http://n1241813.alteg.io,,https://instagram.com/ts__barbershop,,,https://wa.me/77022866619,,,,,,51.169065,71.415798,https://2gis.com/firm/70000001089744827
