Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Telegram,YouTube,Широта,Долгота,2GIS URL
Qazaq qonaq yi,гостевой дом,SPA-процедуры; Бани и сауны; Массажист; Гостиницы; Аренда коттеджей,"улица Айша биби, 52",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,164,87003023848,87766660252 (отдел бронирования ),,,,,,https://instagram.com/qazaqqonaq.yi,,,https://wa.me/77766660252,,,,,51.143475,71.389733,https://2gis.com/firm/70000001087625169
Zoloto,салон красоты,SPA-процедуры; Парикмахерские; Косметолог; Массажист; Ногтевые студии; Студии загара; Эпиляция; Визажисты; Оформление бровей и ресниц; Подолог,"улица Толе би, 59",11 офис,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.8,453,87772567788,,,,,,,https://instagram.com/salon_zoloto,,,https://wa.me/77772567788,,,,,51.133237,71.3963,https://2gis.com/firm/70000001067950499
Callisto,косметологическая клиника,SPA-процедуры; Косметолог; Массажист,"проспект Мангилик Ел, 31",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.9,111,87773086565 (отдел косметологии),,,,,http://callisto-med.kz,,https://instagram.com/callisto_cosmetology,https://facebook.com/callisto.med,,https://wa.me/77773086565,,,,,51.107262,71.43006,https://2gis.com/firm/70000001022774247
Chinese Head Spa,,SPA-процедуры; Массажист,"улица Алихан Бокейхан, 11",1 этаж,,Заречное ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.7,174,87774688131,,,,,,,https://instagram.com/chineseheadspa,,,https://wa.me/77774688131,,,,,51.105762,71.435644,https://2gis.com/firm/70000001068804003
Cas,салон красоты и SPA,SPA-процедуры; Косметолог; Массажист; Оформление бровей и ресниц; Ногтевые студии; Парикмахерские,"проспект Мангилик Ел, 41/5",около 2 подъезда,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.8,140,87005197564,,,,,,,https://instagram.com/cas_sclub,,,https://wa.me/77005197564,,,,,51.102397,71.425706,https://2gis.com/firm/70000001080789909
Aidai Sulu,,SPA-процедуры; Массажист; Косметолог,"Бухар жырау улица, 36",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,4.9,147,87089218262,,,,,,,https://instagram.com/aidaisulu.cosmospa,,,https://wa.me/77089218262,,,,,51.097571,71.442044,https://2gis.com/firm/70000001089306491
Beauty time,салон красоты,SPA-процедуры; Парикмахерские; Косметолог; Ногтевые студии; Массажист; Визажисты; Эпиляция; Услуги пирсинга,"улица Акмешит, 7Б",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,78,87011623477,,,,,http://beautytime.kz,,https://instagram.com/beautytime.kz,,,https://wa.me/77011623477,,,,,51.116512,71.423339,https://2gis.com/firm/70000001038693334
Сулу бол,косметология,SPA-процедуры; Косметолог; Эпиляция; Массажист; Тонизирующие салоны; Обучение мастеров для салонов красоты,"улица Беимбет Майлин, 19",330 кабинет; 3 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00 (по предварительной записи),+05:00,4.9,84,87083331028,87773431328,,,,http://sulu-bol-ast.aqulas.me,,https://instagram.com/sulu.bol_ast,,,https://wa.me/77083331028,,,,,51.14574,71.476058,https://2gis.com/firm/70000001066142724
Shipajai,СПА-салон,SPA-процедуры; Массажист,"проспект Магжана Жумабаева, 27/11",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00,+05:00,4.8,16,87787778855,,,,,,,https://instagram.com/spa_shipajai,,,https://wa.me/77787778855,,,,,51.13736,71.490246,https://2gis.com/firm/70000001033183662
Alteri,центр йоги,SPA-процедуры; Центры йоги; Фитнес-клубы; Обучение танцам,"улица Алихан Бокейхан, 48",НП: 12,,,Есиль район,Астана,,Астана,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-16:00; Вс: 10:00-19:00,+05:00,4.9,125,87768881655,,,,,http://f49006.fitbase.io/schedule-fitbase-widget,,https://instagram.com/alteri.studio,,,https://wa.me/77768881655,,,,,51.087019,71.427142,https://2gis.com/firm/70000001083794235
Women Spa,,SPA-процедуры,"улица Кенесары, 1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,420,87007143851,,,,,http://womenspa.kz,,https://instagram.com/women.spa.astana,,,https://wa.me/77007143851,,,,,51.16226,71.399567,https://2gis.com/firm/70000001095202726
CAMELOT,премиум сауна и гостевой дом,SPA-процедуры; Бани и сауны; Аренда коттеджей; Массажист,"улица Карашаш ана, 13",,,Караоткель-1 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,94,87077689004,,,,,http://camelot.2gis.biz/,http://camelot-astana.kz/,https://instagram.com/camelot_kz,,,https://wa.me/77077689004,,,,,51.140287,71.398488,https://2gis.com/firm/70000001041395046
Mada,центр коррекции фигуры,SPA-процедуры; Косметолог; Массажист; Ногтевые студии,"улица Кордай, 2",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.7,39,87000800845,87053052606,87025470150 (мастер маникюра),,,http://taplink.cc/mada.astana,,https://instagram.com/mada.astana,,,https://wa.me/77053052606,https://wa.me/77000800845,,,,51.143928,71.497199,https://2gis.com/firm/70000001024097549
Cas beauty,SPA-салон,SPA-процедуры; Массажист; Ногтевые студии; Косметолог; Парикмахерские; Визажисты; Оформление бровей и ресниц; Перманентный макияж,"проспект Улы Дала, 39",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.6,183,87075555573,,,,,,,https://instagram.com/cas_beauty_spa,,,https://wa.me/77075555573,,,,,51.098903,71.41078,https://2gis.com/firm/70000001061322281
Siluetica,центр коррекции фигуры,SPA-процедуры; Массажист; Косметолог,"Кабанбай батыр проспект, 48/9",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.7,66,87767301616,,,,,,,https://instagram.com/siluetica_kz,,,https://wa.me/77767301616,,,,,51.111952,71.413672,https://2gis.com/firm/70000001037327840
Купели,банный комплекс,SPA-процедуры; Бани и сауны; Массажист,"улица Кызылкениш, 12",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-04:00; Вт: 09:00-04:00; Ср: 09:00-04:00; Чт: 09:00-04:00; Пт: 09:00-04:00; Сб: 09:00-04:00; Вс: 09:00-04:00,+05:00,4.8,335,87711579966,87058887119,,,,,,https://instagram.com/kupeli_banya,,,https://wa.me/77711579966,https://wa.me/77058887119,,,,51.175772,71.372098,https://2gis.com/firm/70000001063032864
Русская,сауна,SPA-процедуры; Бани и сауны; Массажист,"улица Саркан, 26",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,1,87056249960,,,,,,,,,,https://wa.me/77056249960,,,,,51.139095,71.491896,https://2gis.com/firm/70000001088052290
QaQaO,СПА-клуб,SPA-процедуры; Массажист,"улица Тарас Шевченко, 8",2 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи),+05:00,4.7,428,87075475636,,,,,,,https://instagram.com/qaqao.kz,,,https://wa.me/77075475636,,,,,51.159981,71.406461,https://2gis.com/firm/70000001030823355
Lady`s fit,женская фитнес-студия,SPA-процедуры; Фитнес-клубы; Центры йоги; Велнес-залы; Тренажёрные залы,"улица Айтеке би, 16",,,,Нура район,Астана,,Астана,Казахстан,"Пн: 07:30-13:00, 16:00-22:00; Вт: 07:30-13:00, 16:00-22:00; Ср: 07:30-13:00, 16:00-22:00; Чт: 07:30-13:00, 16:00-22:00; Пт: 07:30-13:00, 16:00-22:00; Сб: 07:30-13:00, 16:00-22:00",+05:00,4.9,523,87762701113,,,,,,,https://instagram.com/ladysfit.kz,,,https://wa.me/77762701113,,,,,51.141929,71.383136,https://2gis.com/firm/70000001051894699
Nirvana Thai Spa,,SPA-процедуры; Массажист,"улица Алихан Бокейхан, 11",,,Заречное ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+05:00,5.0,48,87025274028,,,,,,,https://instagram.com/nirvana_thaispa,,,https://wa.me/77025274028,,,,,51.105147,71.434914,https://2gis.com/firm/70000001103151971
Velvet Charm,центр семейного массажа,SPA-процедуры; Массажист; Эпиляция; Обучение массажистов,"улица Алихан Бокейхан, 2",около столовой Еламан,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+05:00,4.9,106,87066112346,,,,,http://zapis.kz/salon/zhenskaya-studiya-swallow-2075,,https://instagram.com/velvet_charm_massage,,,https://wa.me/77066112346,,,,,51.119744,71.440892,https://2gis.com/firm/70000001052138280
Apple Spa,кабинет массажа,SPA-процедуры; Массажист,"Керей, Жанибек хандар улица, 50/3",НП: 16,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.9,34,87080341818,,,,,,,https://instagram.com/applespa.ast,,,https://wa.me/77080341818,,,,,51.103071,71.449875,https://2gis.com/firm/70000001102763254
Mango Thai Spa,,SPA-процедуры; Массажист,"Кабанбай батыр проспект, 56а",4 офис,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.6,162,87053335898,,,,,,,https://instagram.com/mangothaispa,https://facebook.com/MangoThaiSpa,,https://wa.me/77053335898,,,,,51.099924,71.407556,https://2gis.com/firm/70000001061570323
Majestic,массажная студия,SPA-процедуры; Массажист,"микрорайон Самал, 11",1 этаж,,Самал м-н,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-22:00; Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00,+05:00,4.9,92,87079257583,,,,,http://n804540.alteg.io,,https://instagram.com/majestic.astana,,,https://wa.me/77079257583,,,,,51.153585,71.429633,https://2gis.com/firm/70000001071828249
Morocco spa,,SPA-процедуры,"улица Казыбек би, 37",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.8,24,87473851737,,,,,,,https://instagram.com/morocco.spa_,,,https://wa.me/77473851737,,,,,51.100959,71.384121,https://2gis.com/firm/70000001102860707
zen_spa.astana,,SPA-процедуры; Массажист; Эпиляция,"улица Санжара Асфендиярова, 8",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-03:00; Вт: 10:00-03:00; Ср: 10:00-03:00; Чт: 10:00-03:00; Пт: 10:00-03:00; Сб: 10:00-03:00; Вс: 10:00-03:00,+05:00,5.0,1,87776820605,,,,,,,https://instagram.com/zen_spa.astana,,,https://wa.me/77776820605,,,,,51.134353,71.381424,https://2gis.com/firm/70000001101490058
Фортуна,,SPA-процедуры; Бани и сауны,"Альмукан Сембинов улица, 13/1",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,90,87087223772,87778693103,,,,,,,,,https://wa.me/77087223772,https://wa.me/77778693103,,,,51.171282,71.450248,https://2gis.com/firm/70000001066909148
Еміл,SPA-салон,SPA-процедуры; Массажист; Перманентный макияж; Оформление бровей и ресниц,"улица Туркестан, 2 блок 1",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.4,32,87005870688,,,,,,,https://instagram.com/emil_spa_salon_,,,https://wa.me/77005870688,,,,,51.118771,71.429899,https://2gis.com/firm/70000001084290919
Satori,центр здоровья и красоты,SPA-процедуры,"улица Шаймерден Косшыгулулы, 3/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-01:00,+05:00,4.8,268,87075555017 (администратор),87762840040,87787069326,,,http://satorihealthkz.wixsite.com/satorihealthkz,,https://instagram.com/satori_spa_astana,https://facebook.com/satorihealth.kz,,https://wa.me/77075555017,https://wa.me/77762840040,https://wa.me/77787069326,,,51.166923,71.392072,https://2gis.com/firm/70000001032502909
ХОТТАБЫЧ,сауна на березовых дровах,SPA-процедуры; Бани и сауны; Массажист,"улица Жайылма, 16",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,299,87766107979,,,,,http://hottabych.kz,,https://instagram.com/hottabych_banya,,,https://wa.me/77766107979,,,,,51.177155,71.374812,https://2gis.com/firm/70000001087777683
Blissthai,,SPA-процедуры; Массажист,"проспект Сарыарка, 4",408 офис; 4 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+05:00,5.0,64,87027124837,,,,,,,https://instagram.com/Blissthai_astana,,,https://wa.me/77027124837,,,,,51.159649,71.411803,https://2gis.com/firm/70000001102717044
Bliss,центр оздоровления и омоложения,SPA-процедуры; Остеопат; Массажист; Косметолог,"улица Култегин, 7",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.4,77,87789815319,,,,,,,https://instagram.com/bliss_osteo,,,https://wa.me/77789815319,,,,,51.130466,71.370818,https://2gis.com/firm/70000001045336050
Tonus Room,,SPA-процедуры; Массажист; Косметолог,"улица Алихан Бокейхан, 44",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.5,35,87071023393,,,,,http://tonusroom-online.ru/,,https://instagram.com/tonus_room_astana,,https://vk.com/tonus_room_kz,https://wa.me/77479002114,,,,,51.08835,71.426574,https://2gis.com/firm/70000001066421972
Saya lux spa,,SPA-процедуры,"улица Шаймерден Косшыгулулы, 24/1",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Вт: 12:00-22:00; Ср: 12:00-22:00; Чт: 12:00-22:00; Пт: 12:00-22:00; Сб: 12:00-22:00; Вс: 12:00-22:00 (санитарный день: пн),+05:00,4.8,359,87470491388,,,,,,,https://instagram.com/saya_lux_spa,,,https://wa.me/77470491388,,,,,51.173263,71.379049,https://2gis.com/firm/70000001035923945
Lotus Thai SPA,салон тайского массажа,SPA-процедуры; Массажист,"улица Динмухамед Конаев, 35/1",1 этаж; ВП: 2,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,4.5,209,87750516262,,,,,,,https://instagram.com/_lotus_thai_spa,,,https://wa.me/77750516262,,,,,51.131066,71.438985,https://2gis.com/firm/70000001028642934
Spa Time,,SPA-процедуры; Парикмахерские; Косметолог; Ногтевые студии; Массажист; Эпиляция; Визажисты,"проспект Сарыарка, 4",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+05:00,4.8,96,87017169694,87783689292,,,,,,https://instagram.com/spa_time_astana,,,https://wa.me/77017169694,https://wa.me/77783689292,,,,51.159649,71.411803,https://2gis.com/firm/70000001028619073
Aquatherma,,SPA-процедуры; Бани и сауны; Массажист,"улица Республики, 15",,,,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,"Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00 (санитарный день: пн; женский день: вт; мужской день: ср, чт, пт, сб, вс)",+05:00,4.9,526,87766257225,87778397243,,,,http://www.aquatherma.kz/,,https://instagram.com/aquatherma.kz,,,https://wa.me/77778397243,https://wa.me/77766257225,,,,50.994254,71.371203,https://2gis.com/firm/70000001084557472
Iris Spa & Salt Cave,,SPA-процедуры; Соляные комнаты; Массажист,"улица Щорса, 12/2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.8,81,87081294505,,,,,,,https://instagram.com/iris_spa.saltcave,,,https://wa.me/77081294505,,,https://t.me/+77081294505,,51.172336,71.401093,https://2gis.com/firm/70000001085348091
Jailau Resort,,SPA-процедуры; Бани и сауны; Банкетные залы; Базы отдыха,"Каркаралы, 18Б",,,,,Астана,Целиноградский район,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,111,87750696688,,,,,,,https://instagram.com/jailau_resort,,,https://wa.me/77750696688,,,,,50.981771,71.394008,https://2gis.com/firm/70000001061025523
Beauty,SPA-салон,SPA-процедуры; Косметолог; Парикмахерские; Массажист; Эпиляция; Бани и сауны; Студии загара,"проспект Женис, 1",3 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,3.9,18,87028886642,87172433467,,,,,,https://instagram.com/beautyspa_astana,,,https://wa.me/77028886642,,,,,51.159182,71.413437,https://2gis.com/firm/70000001018063939
Beautica,салон красоты,SPA-процедуры; Парикмахерские; Ногтевые студии; Визажисты; Оформление бровей и ресниц; Косметолог; Эпиляция; Имидж-консультанты; Массажист; Обучение мастеров для салонов красоты; Перманентный макияж,"улица Отырар, 3",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+05:00,4.9,147,87172212865,87767316404,87057615467,,,,,https://instagram.com/salon_krasoty_beautica,,,https://wa.me/77767316404,,,https://t.me/+77767316404,,51.167892,71.429578,https://2gis.com/firm/70000001018063952
Dar spa,,SPA-процедуры; Массажист; Эпиляция,"улица Шаймерден Косшыгулулы, 3/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (по предварительной записи),+05:00,4.5,159,87762840040,,,,,,,,,,https://wa.me/77762840040,,,https://t.me/+77077023084,,51.166923,71.392072,https://2gis.com/firm/70000001061578204
Koricca SPA,,SPA-процедуры; Массажист; Косметолог; Бани и сауны,"проспект Женис, 53/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-01:00,+05:00,4.7,33,,,,,,,,https://instagram.com/koricca_spa,,,,,,,,51.180483,71.408496,https://2gis.com/firm/70000001100327403
Spailand,,SPA-процедуры; Массажист,"улица Шаймерден Косшыгулулы, 11/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00 (по предварительной записи),+05:00,5.0,3,87089089690,,,,,,,,,,https://wa.me/77089089690,,,,,51.168255,71.387095,https://2gis.com/firm/70000001100617866
Face Up by Diana Valeeva,,SPA-процедуры; Косметолог; Остеопат; Массажист; Услуги тейпирования,"улица Динмухамед Конаев, 12/2",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительной записи),+05:00,5.0,40,87059888730,,,,,http://faceupkz.tilda.ws/,,https://instagram.com/faceup.kz,,,https://wa.me/77059888730,,,,,51.12988,71.42558,https://2gis.com/firm/70000001089697736
Sculptors_astana,массажный кабинет,SPA-процедуры; Массажист,"улица Сыганак, 54/2",1 офис; 6 этаж; в Rai,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00 (по предварительной записи),+05:00,4.6,11,87779382192,,,,,,,https://instagram.com/sculptors__astana,,,https://wa.me/77779382192,,,,,51.123827,71.421841,https://2gis.com/firm/70000001056538268
Путь к душе,,SPA-процедуры,"улица Аманжол Болекпаев, 3",,,,Сарайшык район,Астана,,Астана,Казахстан,,+05:00,,,87788646683,,,,,,,,,,https://wa.me/77788646683,,,,,51.124633,71.492685,https://2gis.com/firm/70000001100793739
Rahatai,,SPA-процедуры; Бани и сауны,"улица Ахмет Байтурсынулы, 18",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,,,,,,,,,,,,,,,,,,51.117013,71.512704,https://2gis.com/firm/70000001090273874
Zhulduzay Mussina,салон красоты,SPA-процедуры; Ногтевые студии; Визажисты; Парикмахерские; Эпиляция; Оформление бровей и ресниц; Обучение мастеров для салонов красоты; Косметолог,"улица Е 319, 2",НП: 4,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи),+05:00,4.9,136,87084256153,,,,,,,https://instagram.com/zhulduzay_mussina_beauty,,,https://wa.me/77084256153,,,,,51.061793,71.420222,https://2gis.com/firm/70000001060202045
7 Бояу,салон тайского массажа и СПА,SPA-процедуры; Массажист,"VIP-городок, 24",,,VIP-городок ж/м,Алматы район,Астана,,Астана,Казахстан,Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,4.1,23,87000898959,87172232336,,astana-7kpacok@hotmail.com,astana7spa@gmail.com,,,https://instagram.com/7boyau,,,https://wa.me/77000898959,https://wa.me/77017133688,,,,51.149591,71.492479,https://2gis.com/firm/70000001018061150
Центр тишины Рамана,гостевой дом для любителей медитативных практик,SPA-процедуры,"переулок Суткент, 2а",,,Интернациональный ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,5.0,4,87750191555,,,,,,,https://instagram.com/ramana_center,,,https://wa.me/77750191555,,,,,51.119544,71.571858,https://2gis.com/firm/70000001033224706
