Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,E-mail 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Instagram 1,Instagram 2,Instagram 3,Twitter 1,Twitter 2,Twitter 3,Facebook 1,Facebook 2,Facebook 3,ВКонтакте 1,ВКонтакте 2,ВКонтакте 3,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Viber 3,Telegram 1,Telegram 2,Telegram 3,YouTube 1,YouTube 2,YouTube 3,Skype 1,Skype 2,Skype 3,Широта,Долгота,2GIS URL
Del Papa,итальянский ресторан,Рестораны; Пиццерии; Доставка еды,"Кабанбай батыр проспект, 34",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+05:00,4.6,1195,87717228197,,,,,,http://lyl.su/abr_kz,http://abr.kz,,https://instagram.com/del_papa,,,,,,,,,,,,,,,,,,,,,,,,,,,51.130484,71.415365,https://2gis.com/firm/70000001018065400
Ahó,ресто-бар,Рестораны; Бары,"улица Акмешит, 1 блок 6",,,Заречное ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-04:00; Сб: 14:00-04:00; Вс: 14:00-03:00,+05:00,4.5,396,87080809999,,,,,,http://tiktok.com/@holymelon.mg,,,https://instagram.com/aho.astana,,,,,,,,,,,,https://wa.me/77080809999,,,,,,,,,,,,,,,51.121191,71.424314,https://2gis.com/firm/70000001089234583
Угли,,Рестораны; Бары; Караоке-залы,"проспект Туран, 21а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 16:00-02:00,+05:00,4.7,2584,87006060800,,,,,,,,,https://instagram.com/ugli.bar,,,,,,,,,,,,https://wa.me/77006060800,,,,,,,,,,,,,,,51.142486,71.409729,https://2gis.com/firm/70000001083911738
SF,,Рестораны; Кафе; Доставка еды; Суши-бары; Быстрое питание; Пиццерии,"улица Кайым Мухамедханов, 19а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,12520,87777888888 (служба доставки: круглосуточно),,,,,,http://shaurma-food.kz,,,https://instagram.com/sf.qaz,,,,,,,,,,,,https://wa.me/77777888888,,,,,,,,,https://youtube.com/@sf-2077,,,,,,51.141568,71.383204,https://2gis.com/firm/70000001081796894
Nino,,Рестораны,"улица Акмешит, 1 блок 1",,,Заречное ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-24:00,+05:00,4.7,101,87028808000,,,,,,http://holymelon.com/?fbclid=PAQ0xDSwKkG8hleHRuA2FlbQIxMQABpzBrcboGodMya1wdSBQb4bCE3-Mb-kPWBxzHjwGaBaQ9BJloSdQD2-KxZQgG_aem_TDZ5ohmsfi8fkkRx_NQ8Bw,,,https://instagram.com/nino.ast,,,,,,,,,,,,https://wa.me/77028808000,,,,,,,,,,,,,,,51.119582,71.424691,https://2gis.com/firm/70000001100228776
Tangiers lounge,лаундж-бар,Рестораны; Бары,"улица Акмешит, 1 блок 7",,,Заречное ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-03:00; Сб: 13:00-03:00; Вс: 13:00-02:00,+05:00,4.8,1077,87767750008,,,,,,,,,https://instagram.com/tangierslounge.europecity,,,,,,,,,,,,https://wa.me/77767750008,,,,,,,,,,,,,,,51.121134,71.42474,https://2gis.com/firm/70000001088099502
Turandot,ресторан,Рестораны; Доставка еды,"улица Кайым Мухамедханов, 5",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-03:00 (кухня: 12:00-23:30; бар: 12:00-02:00),+05:00,4.7,1516,87778703277,87778703278,87172249707,,,,http://turandot.kz,,,https://instagram.com/turandot.kz,,,,,,,,,,,,https://wa.me/77778703278,,,,,,,,,,,,,,,51.137971,71.406015,https://2gis.com/firm/70000001083765300
Дареджани,ресторан,Рестораны; Доставка еды,"Кабанбай батыр проспект, 34",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00 (служба доставки: пн-вс 11:00-22:00),+05:00,4.7,1692,87717228290,,,,,,http://lyl.su/abr_kz,http://clck.ru/3AyTGn,,https://instagram.com/daredzhani,,,,,,,,,,,,,,,,,,,,,,,,,,,51.130391,71.415159,https://2gis.com/firm/70000001018089424
Chaihana NAVAT,ресторан,Рестораны; Доставка еды,"проспект Туран, 39а",,,,Нура район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (служба доставки: пн-вс 10:30-22:00),+05:00,4.7,5287,87770471111,,,chaihana.navat.kz@gmail.com,,,http://navat.kz,,,https://instagram.com/navat_astana,,,,,,https://facebook.com/navat.kz,,,,,,https://wa.me/77770471111,,,,,,,,,https://youtube.com/channel/UCG1BLltcElVfRcoH5Z8pHEg,,,,,,51.128271,71.404339,https://2gis.com/firm/70000001090703031
The Monkey,,Рестораны,"улица Кайым Мухамедханов, 5",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-04:00; Сб: 17:00-04:00; Вс: 17:00-02:00,+05:00,4.7,140,87088880005,,,,,,http://www.tiktok.com/@holymelon.mg,,,https://instagram.com/themonkey.ast,,,,,,,,,,,,https://wa.me/77088880005,,,,,,,,,,,,,,,51.138006,71.40565,https://2gis.com/firm/70000001095569743
Угли Premium,,Рестораны; Бары,"улица Достык, 4",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 16:00-03:00,+05:00,4.5,608,87005081010,,,,,,,,,https://instagram.com/ugli.premium.avenue,,,,,,,,,,,,https://wa.me/77005081010,,,,,,,,,,,,,,,51.128479,71.408341,https://2gis.com/firm/70000001099297149
Turandot,ресторан,Рестораны,"Керей, Жанибек хандар улица, 18",А блок; цокольный этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.8,1763,87172546491,87717797851,,,,,http://turandot.kz,,,https://instagram.com/turandot.kz,,,,,,,,,,,,https://wa.me/77717797851,,,,,,,,,,,,,,,51.113698,71.425322,https://2gis.com/firm/70000001019594023
Panno,ресторан,Рестораны; Бары; Караоке-залы; Доставка еды,"улица Достык, 13",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 17:00-01:00; Вт: 17:00-01:00; Ср: 17:00-01:00; Чт: 17:00-01:00; Пт: 17:00-03:00; Сб: 17:00-03:00; Вс: 17:00-01:00,+05:00,4.8,588,87079526090,,,,,,,,,https://instagram.com/panno.astana,,,,,,,,,,,,https://wa.me/77079526090,,,,,,,,,,,,,,,51.126573,71.436886,https://2gis.com/firm/70000001069577746
Oblako,лаундж-бар,Рестораны; Бары,"улица Динмухамед Конаев, 33",4 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-04:00; Сб: 13:00-04:00; Вс: 13:00-03:00,+05:00,4.7,1588,87761113663,,,,,,,,,https://instagram.com/oblako.astana,,,,,,,,,,,,https://wa.me/77761113663,,,,,,,,,,,,,,,51.130758,71.433971,https://2gis.com/firm/70000001060878292
Шишка Premium,лаундж-бар,Рестораны; Бары; Караоке-залы,"Бухар жырау улица, 28",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-04:00; Сб: 13:00-04:00; Вс: 13:00-02:00,+05:00,4.7,930,87779990220,,,,,,http://www.tiktok.com/@holymelon.mg,,,https://instagram.com/shishka_botanic,,,,,,,,,,,,https://wa.me/77779990220,,,,,,,,,,,,,,,51.101091,71.41673,https://2gis.com/firm/70000001079642771
Mokki,ресторан,Рестораны,"улица Достык, 16",3 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+05:00,4.4,556,87172734000 (многоканальный),87710832579,87057550116,,,,http://mokkirestaurant.com,,,https://instagram.com/mokkirestaurant,,,,,,,,,,,,https://wa.me/77710832579,,,,,,,,,,,,,,,51.125247,71.431951,https://2gis.com/firm/70000001028064098
Mokki,ресторан,Рестораны,"улица Достык, 16",3 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+05:00,4.4,556,87172734000 (многоканальный),87710832579,87057550116,,,,http://mokkirestaurant.com,,,https://instagram.com/mokkirestaurant,,,,,,,,,,,,https://wa.me/77710832579,,,,,,,,,,,,,,,51.125247,71.431951,https://2gis.com/firm/70000001028064098
Chaihana NAVAT,ресторан,Рестораны; Доставка еды,"проспект Мангилик Ел, 27",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (служба доставки: пн-вс 10:30-22:00),+05:00,4.9,4439,87051551111,,,chaihana.navat.kz@gmail.com,,,http://navat.kz,,,https://instagram.com/navat_astana,,,,,,https://facebook.com/navat.kz,,,,,,,,,,,,,,,https://youtube.com/channel/UCG1BLltcElVfRcoH5Z8pHEg,,,,,,51.109785,71.431204,https://2gis.com/firm/70000001069294638
Bao Sushi&Noodles Bar,ресторан,Рестораны; Доставка еды; Суши-бары,"улица Достык, 18",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.7,1263,87787447495,,,operatorbao@gmail.com,,,http://baofood.kz,,,https://instagram.com/bao_astana,,,,,,https://facebook.com/bao.noodles,,,,,,https://wa.me/77787447495,,,,,,,,,,,,,,,51.124977,71.433921,https://2gis.com/firm/70000001050197128
А8,семейный ресторан,Рестораны; Караоке-залы; Доставка еды,"проспект Ракымжан Кошкарбаев, 1/1",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+05:00,4.7,1611,87775895588,,,,,,,,,https://instagram.com/restaurant_a8,,,,,,,,,,,,https://wa.me/77775895588,,,,,,,,,,,,,,,51.128787,71.465524,https://2gis.com/firm/70000001069502569
Наша дача,,Рестораны; Доставка еды,"улица Динмухамед Конаев, 14п",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-24:00,+05:00,4.6,968,87783241881,87172421010,,,,,,,,https://instagram.com/nasha_dacha_astana,,,,,,,,,,,,https://wa.me/77783241881,,,,,,,,,,,,,,,51.129785,71.433632,https://2gis.com/firm/70000001036027241
Взлётный,,Рестораны; Бары; Караоке-залы,"Кабанбай батыр проспект, 34",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 17:00-04:00; Вт: 17:00-04:00; Ср: 17:00-04:00; Чт: 17:00-04:00; Пт: 17:00-05:00; Сб: 17:00-05:00; Вс: 17:00-04:00,+05:00,4.7,1202,87072588505,87758717777,,,,,,,,https://instagram.com/vzletnyi_astana,,,,,,,,,,,,https://wa.me/77072588505,,,,,,,,,,,,,,,51.130319,71.415018,https://2gis.com/firm/70000001025762643
Selfie,,Рестораны; Бары; Доставка еды,"улица Достык, 16",18 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.5,301,87770000515,,,,,,http://goodproject.kz,,,https://instagram.com/selfievastane,,,,,,,,,,,,https://wa.me/77770000515,,,,,,,,,,,,,,,51.124794,71.431297,https://2gis.com/firm/70000001028338057
Пивоварофф,ресторан,Рестораны,"проспект Туран, 31",,,Караоткель-1 м-н,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.4,342,87011004988,,,,,,,,,https://instagram.com/pivovaroff.astana,,,,,,,,,,,,https://wa.me/77011004988,,,,,,,,,,,,,,,51.139655,71.408349,https://2gis.com/firm/70000001080505078
Chaihana NAVAT,ресторан,Рестораны; Доставка еды,"улица Сарайшык, 34Б",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.9,1181,87778051111,,,chaihana.navat.kz@gmail.com,,,http://navat.kz,,,https://instagram.com/navat_astana,,,,,,https://facebook.com/navat.kz,,,,,,,,,,,,,,,https://youtube.com/channel/UCG1BLltcElVfRcoH5Z8pHEg,,,,,,51.133216,71.431793,https://2gis.com/firm/70000001097056120
The Bus,музыкальный бар,Рестораны; Караоке-залы; Бары,"шоссе Коргалжын, 3",1 этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-03:00; Сб: 16:00-03:00; Вс: 16:00-24:00,+05:00,4.4,599,87773334999,,,,,,,,,https://instagram.com/thebus_astana,,,,,,,,,,,,https://wa.me/77773334999,,,,,,,,,,,,,,,51.145427,71.407063,https://2gis.com/firm/70000001030200500
Line Brew Reserve,,Рестораны; Бары,"улица Кадыргали Жалайыри, 4",2 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.8,1997,87010688800,,,,,,http://www.theveil.kz,,,https://instagram.com/linebrewreserve,,,,,,,,,,,,https://wa.me/77010688800,,,,,,,,,,,,,,,51.140568,71.445957,https://2gis.com/firm/70000001039971956
Саксаул,,Рестораны,"улица Достык, 5",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-01:00; Сб: 09:00-01:00; Вс: 09:00-24:00,+05:00,4.7,1220,87172475959,87010878885,,,,,,,,,,,,,,https://facebook.com/1011789428966259,,,,,,https://wa.me/77010878885,,,,,,,,,,,,,,,51.128234,71.422936,https://2gis.com/firm/70000001027565666
Chaihana NAVAT,ресторан,Рестораны; Доставка еды,"улица Достык, 13",1 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (служба доставки: пн-вс 10:30-22:30),+05:00,4.9,6351,87772451111,,,chaihana.navat.kz@gmail.com,,,http://navat.kz,,,https://instagram.com/navat_astana,,,,,,https://facebook.com/navat.kz,,,,,,https://wa.me/77772451111,,,,,,,,,https://youtube.com/channel/UCG1BLltcElVfRcoH5Z8pHEg,,,,,,51.126741,71.435876,https://2gis.com/firm/70000001042659424
Del Papa,итальянский ресторан,Рестораны,"проспект Республики, 10",1 этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+05:00,4.5,661,87717228196,,,,,,http://lyl.su/abr_kz,http://abr.kz,,https://instagram.com/del_papa,,,,,,,,,,,,,,,,,,,,,,,,,,,51.160448,71.429433,https://2gis.com/firm/70000001038212283
Turandot,ресторан,Рестораны; Доставка еды,"улица Туркестан, 34",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00 (служба доставки: пн-вс 12:00-22:00),+05:00,4.7,2344,87770119005,87770179005 (служба доставки),87172648111 (служба доставки),,,,http://turandot.kz,,,https://instagram.com/turandot.kz,,,,,,,,,,,,https://wa.me/77770119005,,,,,,,,,,,,,,,51.095352,71.420659,https://2gis.com/firm/70000001038845439
На крыше,ресторан,Рестораны,"улица Кадыргали Жалайыри, 2",6 этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+05:00,4.5,268,87778080909 (ресторан),,,,,,http://goodproject.kz,,,https://instagram.com/nakryshe.rest,,,,,,,,,,,,https://wa.me/77778080909,,,,,,,,,,,,,,,51.141305,71.446384,https://2gis.com/firm/70000001018106274
Myata Sky,лаундж-бар,Рестораны; Бары,"улица Сыганак, 45",25 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-05:00; Сб: 12:00-05:00; Вс: 16:00-04:00,+05:00,4.5,1054,87012021313,,,,,,http://www.tiktok.com/@myatasky.lunch,,,https://instagram.com/myata.sky,,,,,,,,,,,,https://wa.me/77012021313,,,,,,https://t.me/+77012021313,,,,,,,,,51.123131,71.432901,https://2gis.com/firm/70000001037596229
Грузин Кузин,,Рестораны; Доставка еды,"улица Кайым Мухамедханов, 5",,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.7,1177,87020075563,,,,,,,,,https://instagram.com/gruzin_kz,,,,,,,,,,,,https://wa.me/77020075563,,,,,,,,,,,,,,,51.138114,71.4045,https://2gis.com/firm/70000001094258746
Sunduk,,Рестораны,"Керей, Жанибек хандар улица, 14/2",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,4.3,1100,87010707072,87172222444,,,,,http://satgroup.kz,,,https://instagram.com/sunduk.rest,,,,,,https://facebook.com/profile.php?id=61556904403552,,,,,,https://wa.me/77010707072,,,,,,,,,,,,,,,51.114823,71.418363,https://2gis.com/firm/70000001025740389
