Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,Широта,Долгота,2GIS URL
Prime Play,,Клубы видеоигр,"улица Култегин, 14",,,,Нура район,Астана,,Астана,Казахстан,Пн: 13:00-05:00; Вт: 13:00-05:00; Ср: 13:00-05:00; Чт: 13:00-05:00; Пт: 13:00-05:00; Сб: 13:00-05:00; Вс: 13:00-05:00,+05:00,5.0,59,87473690100,,,,,,https://instagram.com/primeplay_astana,,https://wa.me/77007760101,https://wa.me/77473690100,,,,51.136357,71.37437,https://2gis.com/firm/70000001103263244
Qasqir Rooms,,Клубы видеоигр; Компьютерные клубы,"переулок Шеркала, 2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,432,87000886999,,,akhmet.aldiyar@gmail.com,http://taplink.cc/qasqir_rooms,,https://instagram.com/qasqir_rooms,,https://wa.me/77000886999,,,,,51.179959,71.422683,https://2gis.com/firm/70000001047453780
Ойын,игровой клуб,Клубы видеоигр,"улица Шамши Калдаяков, 11",цокольный этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 14:00-02:00; Сб: 14:00-02:00; Вс: 14:00-02:00,+05:00,4.3,57,87478228505,87787822344,,,,,,,https://wa.me/77787822344,,,,,51.118686,71.461312,https://2gis.com/firm/70000001028912749
Ragnarok,игровой клуб,Клубы видеоигр,"улица Алексея Петрова, 1/2",,,2 м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-03:00; Вт: 00:00-03:00; Ср: 00:00-03:00; Чт: 00:00-03:00; Пт: 00:00-03:00; Сб: 00:00-03:00; Вс: 00:00-03:00,+05:00,4.8,162,87006000703,,,,,,,,https://wa.me/77006000703,,,,,51.151119,71.462402,https://2gis.com/firm/70000001082009453
Игротека,игровой клуб,Клубы видеоигр,"проспект Улы Дала, 33",НП: 21,,,Нура район,Астана,,Астана,Казахстан,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-03:00; Сб: 12:00-03:00; Вс: 12:00-03:00,+05:00,4.9,34,87088003012,87719691699,,,,,https://instagram.com/igroteka_astana01,,https://wa.me/77719691699,,,,,51.100052,71.401965,https://2gis.com/firm/70000001102242604
Ойын,игровой клуб,Клубы видеоигр,"улица Куйши Дина, 28",цокольный этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-04:00,+05:00,4.7,81,87757095805,,,,,,https://instagram.com/insane_gaming_kuiyshi_dina,,https://wa.me/77757095805,,,,,51.148847,71.481555,https://2gis.com/firm/70000001052381848
Izzi,игровой клуб,Клубы видеоигр,"улица Шокана Уалиханова, 9/2",цокольный этаж,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 14:00-04:00; Вт: 14:00-04:00; Ср: 14:00-04:00; Чт: 14:00-04:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-04:00,+05:00,4.7,32,87052162023,,,,,,https://instagram.com/izzi_ps,,,,,,,51.165986,71.43795,https://2gis.com/firm/70000001080963704
King,игровой клуб,Клубы видеоигр,"проспект Сарыарка, 32",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+05:00,4.8,98,87718327319,87022397767,,,,,https://instagram.com/king_ps5_astana,,https://wa.me/77718327319,https://wa.me/77022397767,,,,51.173093,71.407279,https://2gis.com/firm/70000001067514745
Glavka,,Клубы видеоигр,"проспект Абылай хана, 2",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 13:00-03:00; Вт: 13:00-03:00; Ср: 13:00-03:00; Чт: 13:00-03:00; Пт: 13:00-03:00; Сб: 13:00-03:00; Вс: 13:00-03:00,+05:00,5.0,27,87475553390,,,,,,https://instagram.com/Playstation_glavka,,https://wa.me/77475553390,,,,,51.158416,71.46897,https://2gis.com/firm/70000001104301512
Izzi,игровой клуб,Клубы видеоигр,"улица Хиуаз Доспанова, 1/1",цокольный этаж,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 14:00-04:00; Вт: 14:00-04:00; Ср: 14:00-04:00; Чт: 14:00-04:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-04:00,+05:00,5.0,25,87778120032,,,,,,https://instagram.com/izzi_ps,,https://wa.me/77778120032,,,,,51.126502,71.506552,https://2gis.com/firm/70000001090585630
Arena Cyber Sport,интернет-клуб,Клубы видеоигр; Компьютерные клубы,"улица Маскеу, 40",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.5,102,87053810609,,,,,,https://instagram.com/arena_cybersport,,https://wa.me/77053810609,,,,,51.182471,71.419811,https://2gis.com/firm/70000001079984928
Empire,игровой клуб,Клубы видеоигр,"улица Шамши Калдаяков, 26",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 16:00-04:00; Вт: 16:00-04:00; Ср: 16:00-04:00; Чт: 16:00-04:00; Пт: 16:00-04:00; Сб: 16:00-04:00; Вс: 16:00-04:00,+05:00,5.0,69,87789288191,,,,,,,,https://wa.me/77789288191,,,,https://t.me/empire_of_games_ps5,51.112597,71.49293,https://2gis.com/firm/70000001095046542
Baza,,Клубы видеоигр,"проспект Ракымжан Кошкарбаев, 32/3 блок И",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.3,7,87782575382,,,,http://tiktok.com/@baza_ps5,,,,https://wa.me/77782575382,,,,,51.124743,71.481898,https://2gis.com/firm/70000001102452650
Baza,,Клубы видеоигр,"улица Кайрат Рыскулбеков, 16/1",цокольный этаж,,,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-07:00; Вт: 12:00-07:00; Ср: 12:00-07:00; Чт: 12:00-07:00; Пт: 12:00-07:00; Сб: 12:00-07:00; Вс: 12:00-07:00,+05:00,4.7,90,87075941717,,,,,,https://instagram.com/baza_psclub_ryskulbekova,,https://wa.me/77479707270,https://wa.me/77075941717,,,,51.159149,71.50442,https://2gis.com/firm/70000001028291334
NaVi Game Hub,,Клубы видеоигр; Компьютерные клубы; Копировальные услуги,"улица Габидена Мустафина, 21/2",,,,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,118,87754457789,,,,,,https://instagram.com/navi_gamehub,,https://wa.me/77757628119,,,,,51.15689,71.508003,https://2gis.com/firm/70000001080797971
Cyber Room,игровой клуб,Клубы видеоигр,"проспект Магжана Жумабаева, 29/1",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.1,7,87789119695,87781874297,,,,,,,https://wa.me/77789119695,https://wa.me/77781874297,,,,51.136992,71.491005,https://2gis.com/firm/70000001080421564
chillzone_kz,,Клубы видеоигр,"улица Кенесары, 1",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 13:00-03:00; Вт: 13:00-03:00; Ср: 13:00-03:00; Чт: 13:00-03:00; Пт: 13:00-03:00; Сб: 13:00-03:00; Вс: 13:00-03:00,+05:00,4.5,8,87754503031,87079708180,,,,,https://instagram.com/chillzone_kz,,https://wa.me/77754503031,,,,,51.162206,71.399141,https://2gis.com/firm/70000001071470777
Games Start,,Клубы видеоигр; Компьютерные клубы,"улица Кайрат Рыскулбеков, 27/1",,,Аль-Фараби м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.7,241,87079143886,,,,,,https://instagram.com/game_start_ryskulbekova,,https://wa.me/77786394545,,,,,51.158632,71.499689,https://2gis.com/firm/70000001083534578
La Liga,,Клубы видеоигр,"проспект Нургиса Тлендиева, 15/4",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 13:00-07:00; Вт: 13:00-07:00; Ср: 13:00-07:00; Чт: 13:00-07:00; Пт: 13:00-07:00; Сб: 13:00-07:00; Вс: 13:00-07:00,+05:00,4.9,161,87750931665,,,,,,,,https://wa.me/77750931665,,,,,51.178602,71.376908,https://2gis.com/firm/70000001042647095
Bro,клуб видеоигр,Клубы видеоигр,"улица Ахмет Байтурсынулы, 53",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 12:00-08:00; Вт: 12:00-08:00; Ср: 12:00-08:00; Чт: 12:00-08:00; Пт: 12:00-08:00; Сб: 12:00-08:00; Вс: 12:00-08:00,+05:00,4.9,94,87021964065,,,,,,https://instagram.com/bro_ps5,,https://wa.me/77021964065,,,,,51.11644,71.523257,https://2gis.com/firm/70000001069379193
One Play,,Клубы видеоигр,"улица Чингиз Айтматов, 36",цокольный этаж,,Жагалау-3 жилой комплекс,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.9,37,87786072750,87053198544,,,http://oneplay.2gis.biz,,https://instagram.com/one_play_playstation,,https://wa.me/77786072750,,,,,51.135474,71.363637,https://2gis.com/firm/70000001077188079
Game club Dragao,клуб видеоигр,Клубы видеоигр,"улица Сыганак, 4",цокольный этаж,,,Нура район,Астана,,Астана,Казахстан,Пн: 13:00-04:00; Вт: 13:00-04:00; Ср: 13:00-04:00; Чт: 13:00-04:00; Пт: 13:00-04:00; Сб: 13:00-04:00; Вс: 13:00-04:00,+05:00,4.9,57,87719890937,,,,,,https://instagram.com/ps_market_01,,https://wa.me/77719890937,,,,,51.130424,71.366773,https://2gis.com/firm/70000001061955364
Арман,,Клубы видеоигр,"Керей, Жанибек хандар улица, 28",2 этаж,,,Есиль район,Астана,,Астана,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+05:00,5.0,9,87078781313,,,,,,,,,,,,,51.112477,71.434401,https://2gis.com/firm/70000001103297368
BigOFFside,,Клубы видеоигр,"улица Кенжебек Кумисбеков, 11",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00 (до последнего гостя: пн-вс),+05:00,4.9,196,87753561296,,,,,,https://instagram.com/bigoffside.astana,,https://wa.me/77753561296,,,,,51.171741,71.396526,https://2gis.com/firm/70000001075321084
8bit,,Клубы видеоигр,"улица Жумекен Нажимеденов, 13",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,16,87083201723,,,,,,https://instagram.com/ps5_8bit,,https://wa.me/77083201723,,,,,51.114966,71.509935,https://2gis.com/firm/70000001104446366
Jax,игровой клуб,Клубы видеоигр,"улица Илияса Есенберлина, 26",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,197,87071150190,,,,,,https://instagram.com/jax_ps5_club,,https://wa.me/77071150190,,,,,51.188703,71.41438,https://2gis.com/firm/70000001028101659
El Clasico,,Клубы видеоигр,"улица Е 669, 4",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 13:00-03:00; Вт: 13:00-03:00; Ср: 13:00-03:00; Чт: 13:00-03:00; Пт: 13:00-03:00; Сб: 13:00-03:00; Вс: 17:00-03:00 (до последнего клиента),+05:00,5.0,15,87077100850,,,,,,,,,,,,,51.087759,71.468176,https://2gis.com/firm/70000001103743859
Игровой клуб,,Клубы видеоигр,"проспект Республики, 58",1 этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-04:00 (по предварительной записи),+05:00,4.4,24,87078554555,,,,,,https://instagram.com/play_ps5_astana,,https://wa.me/77078554555,,,,,51.183058,71.422958,https://2gis.com/firm/70000001029502897
Battle,игровой клуб,Клубы видеоигр,"улица Ыкылас Дукенулы, 37/2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+05:00,4.8,17,87764572408,,,,,,https://instagram.com/battle_ps_astana,,https://wa.me/77764572408,,,,,51.182801,71.438882,https://2gis.com/firm/70000001067885502
Games Start,,Клубы видеоигр; Компьютерные клубы,"улица Шаймерден Косшыгулулы, 3/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.2,93,,,,,,,https://instagram.com/games_start_club,,,,,,,51.167184,71.392225,https://2gis.com/firm/70000001093997543
Hayat,клуб видеоигр,Клубы видеоигр,"проспект Шакарим Кудайбердыулы, 32",,,Аль-Фараби м-н,Алматы район,Астана,,Астана,Казахстан,Пн: 07:00-02:00; Вт: 07:00-02:00; Ср: 07:00-02:00; Чт: 07:00-02:00; Пт: 07:00-02:00; Сб: 07:00-02:00; Вс: 07:00-02:00,+05:00,,,87071469833,,,,,,,,https://wa.me/77071469833,,,,,51.157206,71.49534,https://2gis.com/firm/70000001102545725
Game club Dragao,клуб видеоигр,Клубы видеоигр,"проспект Нургиса Тлендиева, 15/2",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 14:00-04:00; Вт: 14:00-04:00; Ср: 14:00-04:00; Чт: 14:00-04:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-04:00,+05:00,5.0,14,87009612468,,,,,,,,https://wa.me/77009612468,,,,,51.180041,71.373266,https://2gis.com/firm/70000001104021122
Sniper X,,Клубы видеоигр; Компьютерные клубы,"улица Конституции, 11Б",1 этаж,,Агрогородок м-н,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,111,87025554377,,,,,,,,https://wa.me/77025554377,,,,,51.195157,71.394633,https://2gis.com/firm/70000001078948157
Roma,игровой клуб,Клубы видеоигр,"улица Бейбарыс Султан, 6/1",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,75,,,,,,,https://instagram.com/roma_ps5,,https://wa.me/77756894102,,,,,51.171676,71.371313,https://2gis.com/firm/70000001091689975
Champions league,,Клубы видеоигр,"улица Акан Серы, 18",,,Агрогородок м-н,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-04:00; Вт: 12:00-04:00; Ср: 12:00-04:00; Чт: 12:00-04:00; Пт: 12:00-04:00; Сб: 12:00-04:00; Вс: 12:00-04:00,+05:00,5.0,72,87779898808,,,,http://tiktok.com/@champions_league_ps5,,https://instagram.com/champions_league_ps5,,https://wa.me/77779898808,,,,,51.187857,71.380515,https://2gis.com/firm/70000001081870990
DD,,Клубы видеоигр,"улица Алии Молдагуловой, 30",,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,4.7,23,87054555876,,,,,,https://instagram.com/dd_playstation_astana,,https://wa.me/77054555876,,,,,51.185799,71.414512,https://2gis.com/firm/70000001081529421
Game club,игровой клуб,Клубы видеоигр; Прокат игровых приставок; Центры виртуальной реальности,"улица Бейбарыс Султан, 6/1",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,45,,,,,,,https://instagram.com/gameclubps_5,,https://wa.me/77057420417,,,,,51.171676,71.371313,https://2gis.com/firm/70000001059242689
Игровой клуб,,Клубы видеоигр,"Аль-Фараби проспект, 22",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 14:00-04:00; Вт: 14:00-04:00; Ср: 14:00-04:00; Чт: 14:00-04:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-04:00,+05:00,,,87027515759,,,,,,,,,,,,,51.09374,71.451393,https://2gis.com/firm/70000001101369806
Берекет,бильярдный клуб,Клубы видеоигр; Бильярдные залы,"улица Жумекен Нажимеденов, 39",НП: 9,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 14:00-04:00; Вт: 14:00-04:00; Ср: 14:00-04:00; Чт: 14:00-04:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-04:00,+05:00,5.0,7,87780993972,,,,,,https://instagram.com/bereket.billiards,,https://wa.me/77780993972,,,,,51.108922,71.54161,https://2gis.com/firm/70000001100913090
Game&Grill,клуб видеоигр,Клубы видеоигр,"Е 117 улица, 38",,,,Есиль район,Астана,,Астана,Казахстан,Пн: 10:00-02:00; Вт: 10:00-02:00; Ср: 10:00-02:00; Чт: 10:00-02:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-02:00,+05:00,5.0,8,87066862070,,,,,,https://instagram.com/game_and_grill,,https://wa.me/77066862070,,,,,51.078283,71.493705,https://2gis.com/firm/70000001103044916
Boom,,Клубы видеоигр,"улица Бейбарыс Султан, 25/1",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 15:00-04:00; Вт: 15:00-04:00; Ср: 15:00-04:00; Чт: 15:00-04:00; Пт: 15:00-04:00; Сб: 12:00-05:00; Вс: 12:00-05:00 (по предварительной записи: пн-вс 00:00-12:00),+05:00,5.0,124,87751371800,,,,,,https://instagram.com/boom.psclub.astana,,https://wa.me/77751371800,,,,,51.171958,71.356534,https://2gis.com/firm/70000001082757430
Playroom,,Клубы видеоигр,"улица Балкантау, 10",,,Юго-Восток (правая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+05:00,5.0,1,87712950101,,,,,,https://instagram.com/play_room_ps5,,https://wa.me/77712950101,,,,,51.13903,71.512263,https://2gis.com/firm/70000001103978342
Gamer,игровой клуб,Клубы видеоигр; Компьютерные клубы,"улица Ыргыз, 27",цокольный этаж,,Юго-Восток (левая сторона) ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 14:00-04:00; Вт: 14:00-04:00; Ср: 14:00-04:00; Чт: 14:00-04:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-04:00,+05:00,4.8,181,87058860266,,,,,,https://instagram.com/gamer_ps5club,,https://wa.me/77058860266,,,,,51.145697,71.511119,https://2gis.com/firm/70000001062283943
Aviator,,Клубы видеоигр,"улица Сарытогай, 13",,,Пригородный ж/м,Есиль район,Астана,,Астана,Казахстан,Пн: 13:00-03:00; Вт: 13:00-03:00; Ср: 13:00-03:00; Чт: 13:00-03:00; Пт: 13:00-03:00; Сб: 13:00-03:00; Вс: 13:00-03:00,+05:00,4.7,24,87479574243,,,,,,https://instagram.com/aviator_ps5,,https://wa.me/77479574243,,,,,51.042286,71.427167,https://2gis.com/firm/70000001100259867
Lions,,Клубы видеоигр,"проспект Нургиса Тлендиева, 15/2",цокольный этаж,,,Сарыарка район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,38,87752877701,87475444446,,,,,,,https://wa.me/77752877701,,,,,51.180041,71.373266,https://2gis.com/firm/70000001097609002
Мортал комбат,клуб видеоигр,Клубы видеоигр,"улица Хачатуряна, 16",,,,Байконыр район,Астана,,Астана,Казахстан,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+05:00,4.3,5,87009641327,,,,,,https://instagram.com/ps5__astana,,https://wa.me/77009641327,,,,,51.195184,71.464515,https://2gis.com/firm/70000001099327532
BuLike,,Клубы видеоигр,"улица Кокарал, 2",,,Промышленный ж/м,Сарайшык район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00,+05:00,,,87003023294,,,,,,https://instagram.com/bu_like_banya,,https://wa.me/77003023294,,,,,51.132756,71.525821,https://2gis.com/firm/70000001098836520
Altron,компьютерный клуб,Клубы видеоигр; Компьютерные клубы,"201 улица, 29а",,,Үркер ж/м,Нура район,Астана,,Астана,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.6,62,87751711539,87758888348,,,,,https://instagram.com/altron_urker,,https://wa.me/77751711539,https://wa.me/77758888348,,,,51.133046,71.287804,https://2gis.com/firm/70000001092472976
NPC,,Клубы видеоигр; Компьютерные клубы,"улица Лесная поляна, 16",цокольный этаж,,Лесная поляна м-н,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.8,308,87085946438,,,,,,https://instagram.com/npc_gamer_hab,,https://wa.me/77085946438,,,,,51.003308,71.375615,https://2gis.com/firm/70000001080008959
Baza,клуб видеоигр,Клубы видеоигр,"улица Лесная поляна, 7",цокольный этаж,,Лесная поляна м-н,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 13:00-08:00; Вт: 13:00-08:00; Ср: 13:00-08:00; Чт: 13:00-08:00; Пт: 13:00-08:00; Сб: 13:00-08:00; Вс: 13:00-08:00,+05:00,4.5,15,87783213398,,,,,,,,https://wa.me/77783213398,,,,,51.000526,71.374517,https://2gis.com/firm/70000001076648132
Brother,,Клубы видеоигр,"улица Лесная поляна, 10",ВП: 6,,Лесная поляна м-н,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 12:00-04:30; Вт: 12:00-04:30; Ср: 12:00-04:30; Чт: 12:00-04:30; Пт: 12:00-04:30; Сб: 12:00-04:30; Вс: 12:00-04:30,+05:00,5.0,6,,,,,,,https://instagram.com/psclubbrother,,,,,,,51.00064,71.36992,https://2gis.com/firm/70000001088082258
Клуб видеоигр,,Клубы видеоигр; Прокат игровых приставок,"улица Курмангазы, 6",,,,,,Целиноградский район,Акмолинская область,Казахстан,Пн: 20:00-07:00; Вт: 20:00-07:00; Ср: 20:00-07:00; Чт: 20:00-07:00; Пт: 20:00-07:00; Сб: 20:00-07:00; Вс: 20:00-07:00,+05:00,,,87780609859,,,,,,,,,,,,,51.24423,71.154214,https://2gis.com/firm/70000001102464688
Бәкеңғой,,Клубы видеоигр,"улица Лесная поляна, 17",цокольный этаж; ВП: 22,,Лесная поляна м-н,,Косшы,Косшы городская администрация,Акмолинская область,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00 (до последнего гостя),+05:00,4.7,63,87755038709,,,,,,https://instagram.com/bakengoi_ps,,https://wa.me/77755038709,,,,,51.002478,71.373276,https://2gis.com/firm/70000001042548015
Клуб видеоигр,,Клубы видеоигр,"улица Абая Кунанбаева, 14а",,,,,,Целиноградский район,Акмолинская область,Казахстан,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+05:00,1.4,1,87785235737,,,,,,,,https://wa.me/77785235737,,,,,51.253173,71.144353,https://2gis.com/firm/70000001101109175
Игровой клуб,,Клубы видеоигр,"улица Жамбыла Жабаева, 48а",,,Железнодорожный ж/м,Алматы район,Астана,,Астана,Казахстан,Пн: 11:00-03:00; Вт: 11:00-03:00; Ср: 11:00-03:00; Чт: 11:00-03:00; Пт: 11:00-03:00; Сб: 11:00-03:00; Вс: 11:00-03:00,+05:00,5.0,3,87024416367,,,,,,,,https://wa.me/77024416367,,,,,51.143199,71.570847,https://2gis.com/firm/70000001063142336
Akmol,клуб видеоигр,Клубы видеоигр,"улица Жана жол, 30Б",,,,,,Целиноградский район,Акмолинская область,Казахстан,Пн: 15:00-04:00; Вт: 15:00-04:00; Ср: 15:00-04:00; Чт: 15:00-04:00; Пт: 15:00-04:00; Сб: 15:00-04:00; Вс: 15:00-04:00,+05:00,5.0,1,87784969244,,,,,,,,https://wa.me/77784969244,,,,,51.068972,70.980981,https://2gis.com/firm/70000001088458809
Black,клуб видеоигр,Клубы видеоигр,"улица Ахмет Байтурсынулы, 40",,,,Сарайшык район,Астана,,Астана,Казахстан,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+05:00,4.5,35,87075087921,,,,,,https://instagram.com/black.psclub,,https://wa.me/77075087901,,,,,51.112819,71.542568,https://2gis.com/firm/70000001095647241
